NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
85,206708,0,0,0,0,0,0,4004,17,0,130105,0,0,0,2,0,0,0,0,0,0,0,72577,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,181183,0,0,0,0,0,0,0,0,0,0,0,0,171544,0,0,0,0,0,9639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,188236,0,0,0,0,0,0,0,0,0,0,0,0,188236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,191906,0,0,0,0,0,0,0,0,0,0,0,0,49783,0,0,0,0,0,142123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,177159,0,0,161335,11611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4212,0,0,0,0,0,0
90,199476,0,0,0,0,0,0,0,0,0,0,0,55033,0,0,0,0,0,0,0,0,0,0,0,0,7128,0,0,0,0,0,0,0,137314,0,0,0,0,0
91,189615,0,0,0,0,0,0,0,0,0,0,0,58089,0,0,0,0,0,0,0,0,0,0,0,131494,0,0,0,0,0,0,0,0,31,0,0,0,0,0
92,170706,0,0,0,0,0,25118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45220,42062,0,0,0,0,9339,0,0,48964,0,0,0,0,0
93,181145,0,0,0,0,0,0,0,0,0,0,0,104225,0,0,0,0,0,0,0,0,0,0,0,66283,0,941,0,0,0,0,0,0,9695,0,0,0,0,0
94,191322,0,0,0,0,0,4723,0,0,0,0,0,10201,0,0,0,0,0,0,0,0,0,0,0,79706,87594,0,0,0,0,0,0,0,9096,0,0,0,0,0
95,193609,0,0,0,0,0,0,0,0,0,0,0,17120,0,0,0,0,0,0,0,0,0,0,0,180,31313,0,0,0,0,0,0,0,144996,0,0,0,0,0
96,190225,0,0,0,0,0,50883,0,0,0,0,0,14213,0,0,0,0,0,0,0,0,0,0,0,0,121921,0,0,0,0,11,0,0,3196,0,0,0,0,0
97,186672,0,0,0,0,0,0,0,0,0,0,0,176937,0,0,0,0,0,0,0,0,0,0,0,0,9663,0,0,0,0,0,0,0,72,0,0,0,0,0
98,190731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190730,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,190507,0,0,0,0,0,0,0,0,0,0,0,187590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915,0,0,0,0,0
100,191685,0,0,0,0,120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80050,0,77396,34116,0,0,0,0,0
101,193147,0,0,0,0,0,72628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81345,0,0,0,0,38223,0,0,950,0,0,0,0,0
102,197592,0,0,0,0,13699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14665,0,0,0,0,0,0,0,169227,0,0,0,0,0,0
103,194082,0,0,0,0,0,9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16065,0,0,0,0,0,40899,0,6,127585,0,0,0,0,0
104,199696,0,0,0,0,0,31190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,42919,0,0,125583,0,0,0,0,0
105,180802,0,0,0,0,0,116028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,64402,0,0,0,0,0
106,172648,0,0,0,44253,0,0,0,0,0,0,0,0,6423,0,0,0,0,0,0,0,0,0,0,0,0,121971,0,0,0,0,0,0,0,0,0,0,0,0
107,181204,0,0,0,0,109560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363,0,69280,0,0,0,0,0,0
108,183270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126089,0,0,0,0,0,22833,0,30055,4292,0,0,0,0,0
109,178772,0,0,0,0,15872,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162897,0,0,0,0,0,0,0,0
110,186472,0,0,0,0,2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138915,0,38308,6804,0,0,0,0,0
111,189030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184189,0,0,4840,0,0,0,0,0
112,183895,0,0,2,8,98957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29670,0,0,0,0,0,0,0,55256,0,0,0,0,0,0
113,172644,0,0,0,0,167061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,5526,0,0,0,0,0,0
114,185585,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705,0,0,0,0,0,37255,0,146621,0,0,0,0,0,0
115,197902,0,0,0,0,0,6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78543,0,3,0,0,0,0,0,69055,43904,0,0,0,0,0
116,217888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188835,1836,0,557,0,0,0,0,0,0,0,0,0,0,0,26659,0,0,0
117,165393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127612,0,0,37781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,203640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25757,46284,0,38025,0,0,0,0,82624,0,0,0,0,0,0,10946,0,0,0
119,210809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35626,10932,0,3,0,0,0,0,128257,0,0,0,0,0,0,35990,0,0,0
120,180806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18338,0,0,0,0,0,0,32727,0,0,0,0,0,0,129740,0,0,0
121,195781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2743,171923,0,12861,0,0,0,0,0,0,0,0,0,0,0,8252,0,0,0
122,174515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4688,21916,0,147910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,214851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57925,70971,0,1677,0,0,0,0,6563,0,0,0,0,0,0,77712,0,0,0
124,196496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166581,0,0,25989,0,0,0,0,0,0,0,0,0,0,0,3925,0,0,0
125,218607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190211,0,0,28392,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
126,189380,0,30649,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,13152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145535
127,201128,0,179876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,181713,0,45400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136312,0,0
129,193635,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,67,0,0,0,0,0,0,1317,0,0,0,0,0,0,192078,0,0
130,186224,0,0,0,0,0,0,0,18129,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168080
131,206861,0,0,0,0,0,0,58,0,196639,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,9164,0,0,0,0,0,0,935,0,0
132,188460,0,0,0,0,0,0,0,88230,0,4,0,0,0,0,0,0,0,0,0,0,0,76966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23259
133,184239,0,0,0,0,0,0,75170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109068
134,192271,0,0,0,0,0,0,155916,0,13679,0,0,0,0,0,0,0,0,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21012
135,179677,0,0,0,0,0,0,0,162747,0,0,0,0,0,0,0,0,0,0,0,0,0,2528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14401
136,189278,0,0,0,0,0,0,0,0,0,30846,0,0,0,0,0,0,67406,0,0,0,0,0,0,0,0,0,0,0,0,0,39916,0,0,0,0,0,51108,0
137,201391,0,0,0,0,0,0,164164,0,35936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289
138,201557,0,0,0,0,0,0,490,34655,0,0,0,0,0,0,0,0,0,11119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155291
139,209885,0,5982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180447,0,0,0,0,0,0,0,0,0,0,23452,0,0,0,0,0,0,0,0,2
140,184618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3927,0,0,0,0,0,0,0,0,0,0,180690,0,0,0,0,0,0,0,0,0
141,198151,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157340,0,0,0,0,0,0,0,0,0,0,39978,0,0,0,0,0,0,0,0,0
142,182410,0,23368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74354,0,0,0,0,0,0,0,0,0,0,84101,0,0,0,0,0,0,586,0,0
143,198808,0,23582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5387,0,0,0,0,0,0,0,0,0,0,145037,0,0,0,0,0,0,24801,0,0
144,218046,0,0,0,0,0,0,0,0,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151108,0,0,0,0,0,0,66844,0,0
145,188074,0,0,0,0,0,0,7163,0,24527,0,0,0,0,0,0,0,0,47684,0,0,0,0,0,0,0,0,0,0,108699,0,0,0,0,0,0,0,0,0
146,191755,0,0,0,0,0,0,30,0,181995,0,0,0,0,0,0,0,0,9729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,201598,0,0,0,0,0,0,26773,0,75187,0,0,0,0,0,0,0,0,61847,0,0,0,0,0,0,0,0,0,0,36484,0,0,0,0,0,0,1304,0,0
148,213109,0,0,0,0,0,0,534,8477,0,0,0,0,0,0,0,0,0,168619,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,35417
149,204775,0,0,0,0,0,0,141238,48672,7420,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7306
150,182763,0,97867,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78221
