StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
"NV",32,2,720704,158911,136080,148984,136465,51169,20940,46182,21973
"NV",32,3,803545,147607,123584,137830,127033,84123,37830,95296,50242
"NV",32,4,753060,138883,101438,130931,101978,97248,42044,93602,46936
"NH",33,1,673194,164945,144596,162471,157659,18742,5954,13362,5465
"NH",33,2,669601,156667,150989,149065,163359,17105,6743,17997,7676
"NJ",34,1,729675,133730,111293,128790,127832,75736,33074,77910,41310
"NJ",34,2,713380,134740,125861,131266,145462,59035,29152,55649,32215
"NJ",34,3,746035,150090,142173,140983,163963,47739,24431,47200,29456
"NJ",34,4,756825,166336,138819,165164,164592,39469,19375,39529,23541
"NJ",34,5,746385,148972,137013,150509,153713,47792,27003,48853,32530
"NJ",34,6,742483,129299,98962,123625,110235,91942,44316,94188,49916
"NJ",34,7,754222,149541,142828,145331,159667,52587,25794,48962,29512
"NJ",34,8,777484,141558,77634,138754,87395,121642,46945,112254,51302
"NJ",34,9,769504,138790,99471,128330,115209,92266,46012,93790,55636
"NJ",34,10,781893,63883,43972,61084,48745,178534,87245,184383,114047
"NJ",34,11,729569,150518,142982,143039,160524,42398,20696,43862,25550
"NJ",34,12,758189,122303,100641,112767,113850,101955,50301,96214,60158
"NM",35,1,696688,149327,114776,148224,133661,53783,22015,50521,24381
"NM",35,2,694692,177595,115193,167894,120959,41021,18935,33282,19813
"NM",35,3,696690,119837,102761,120026,111767,79919,38982,79373,44025
"NY",36,1,718652,165149,148346,148018,165861,32105,12918,30582,15673
"NY",36,2,721373,143782,116207,146676,132333,61312,27243,63802,30018
"NY",36,3,725627,120276,136185,117007,154603,63831,33935,58289,41501
"NY",36,4,728807,122431,107561,113064,122861,81410,41586,86636,53258
"NY",36,5,798555,36309,31239,38834,32924,193539,117294,200491,147925
"NY",36,6,761797,83194,76735,79971,90317,126255,81337,126271,97717
"NY",36,7,755717,136574,49659,124439,54080,124074,61990,124586,80315
"NY",36,8,793532,71608,44562,74335,53830,166313,83243,177981,121660
"NY",36,9,750170,87909,47215,92468,51435,130202,78561,147879,114501
"NY",36,10,733275,143147,99360,150002,106967,75199,35438,79426,43736
"NY",36,11,755204,138331,111596,135951,131490,75755,38382,77262,46437
"NY",36,12,714279,156932,96455,158409,106911,65981,26910,75292,27389
"NY",36,13,802800,64667,38560,66712,40553,186768,86565,194959,124016
"NY",36,14,691813,85611,64982,77305,70351,128582,67355,120670,76957
"NY",36,15,781143,43227,19907,40998,29537,221534,87454,225946,112540
"NY",36,16,742552,83180,79227,83098,92293,119914,64596,130321,89923
"NY",36,17,746412,142655,112288,135081,128459,78349,34188,72509,42883
"NY",36,18,730114,153730,127088,141697,140343,58973,24456,55817,28010
"NY",36,19,700975,149115,155707,143435,167335,32641,13933,25651,13158
"NY",36,20,732130,153635,128754,149348,148408,54863,19330,56523,21269
"NY",36,21,705669,176993,147228,164663,157262,29147,8564,16864,4948
"NY",36,22,696819,163540,145883,155371,159659,27803,9217,26067,9279
"NY",36,23,702026,167589,144435,164640,157719,29607,8159,21885,7992
"NY",36,24,707889,155500,134382,153048,151630,40949,14472,42244,15664
"NY",36,25,719033,139338,121084,137233,138911,62422,23287,66288,30470
"NY",36,26,714521,134198,112439,127624,130890,71332,26348,76501,35189
"NY",36,27,718515,170116,160181,162537,178430,18652,7622,14393,6584
"NC",37,1,759049,102169,76490,99387,89961,115244,66549,121779,87470
"NC",37,2,835806,166224,125259,168264,138745,76645,36816,80804,43049
"NC",37,3,755647,169795,112685,134466,124420,72249,32458,69906,39668
"NC",37,4,856104,160431,96427,153411,109225,118442,43373,121415,53380
"NC",37,5,758376,158823,134972,154559,153361,49038,22565,55502,29556
"NC",37,6,768546,138913,127603,138291,143831,69840,35660,73326,41082
"NC",37,7,800096,156615,133105,155332,154079,59913,36640,60081,44331
"NC",37,8,789484,153314,106085,142855,117471,93091,39484,89169,48015
"NC",37,9,788020,142895,112424,139884,124602,88597,41401,86261,51956
"NC",37,10,760410,157033,141292,156057,162531,46716,20321,49602,26858
"NC",37,11,759358,164166,169562,161549,192436,28365,11217,20586,11477
"NC",37,12,860866,125299,71758,120577,79591,158077,58417,170965,76182
"NC",37,13,781657,142889,123211,144123,138298,75279,32702,81447,43708
"ND",38,0,755393,201896,132475,182547,137198,43164,10765,35667,11681
"OH",39,1,740851,149366,110866,144443,124549,71748,27699,76932,35248
"OH",39,2,728153,175693,132708,170986,150427,30272,16567,29428,22072
"OH",39,3,782878,129844,73591,128765,87377,129368,45376,133318,55239
"OH",39,4,710603,173424,142076,168446,156363,25117,11612,23500,10065
"OH",39,5,717547,181820,141438,176221,156596,24371,8526,20693,7882
"OH",39,6,696153,170871,157693,163563,169636,15677,5454,8824,4435
"OH",39,7,725665,180827,149153,175365,165501,17448,7402,19779,10190
"OH",39,8,730445,177758,136936,177549,151877,32057,10733,29621,13914
"OH",39,9,720715,141391,117827,135664,134514,70108,23374,68339,29498
"OH",39,10,721456,149261,119686,144586,136933,55270,25736,57708,32276
"OH",39,11,675475,65780,63084,66482,71540,117987,68200,129395,93007
"OH",39,12,780529,194708,140158,186199,154662,39260,13322,37928,14292
"OH",39,13,715559,151672,132237,149285,153946,45274,17515,44414,21216
"OH",39,14,724790,167430,152511,158984,174063,23870,11682,22935,13315
"OH",39,15,772776,204411,145007,197328,154742,30029,8348,24673,8238
"OH",39,16,715014,169282,154317,166026,174630,20427,6599,15951,7782
"OK",40,1,803883,162084,117808,159608,133787,83165,28597,85107,33727
"OK",40,2,744806,122624,120722,117088,131653,89913,37431,84021,41354
"OK",40,3,774066,178718,129703,166546,138612,63306,21047,54106,22028
"OK",40,4,789947,175457,119466,167777,133099,73567,23835,70006,26740
"OK",40,5,818162,170838,106698,163970,121234,90048,33959,91367,40048
"OR",41,1,844175,194242,140370,186186,154219,63229,21335,61219,23375
"OR",41,2,821129,196341,171986,184747,186167,29773,13221,25949,12945
"OR",41,3,842158,199540,128527,194359,138265,62712,24935,65822,27998
"OR",41,4,803611,185664,164974,178945,180261,34205,11607,35916,12039
"OR",41,5,831703,196720,154960,186282,174487,43223,16452,44530,15049
"PA",42,1,728366,105618,61791,92982,71802,132130,55643,139136,69264
