Year,Group,Population,Citizen,Registered,RegisteredPct,NotRegistered,NotRegisteredPct,NoResponeToRegistration,NoResponseToRegistrationPct,Voted,VotedPct,NotVoted,NotVotedPct,NoResponseVoted,NoResponseVotedPct,RegisteredPctOfAll,VotedPctOfAll
2016,F25To44L9,1237,466,128,27.4,208,44.7,130,27.9,71,15.2,275,59.1,120,25.7,10.3,5.7
2016,F25To44L12,2308,1568,664,42.3,608,38.8,296,18.9,490,31.2,800,51.0,278,17.8,28.8,21.2
2016,F25To44HS,9610,8276,4696,56.7,2028,24.5,1553,18.8,3595,43.4,3215,38.8,1466,17.7,48.9,37.4
2016,F25To44SC,12063,11381,7858,69.0,1806,15.9,1717,15.1,6482,57.0,3257,28.6,1642,14.4,65.1,53.7
2016,F25To44BA,11067,10060,8000,79.5,824,8.2,1236,12.3,7272,72.3,1591,15.8,1198,11.9,72.3,65.7
2016,F25To44AD,6149,5427,4565,84.1,260,4.8,602,11.1,4303,79.3,524,9.6,601,11.1,74.2,70.0
2016,M45To64L9,1641,898,323,35.9,364,40.6,211,23.5,253,28.2,450,50.2,194,21.6,19.7,15.4
2016,M45To64L12,2895,2456,1188,48.4,780,31.8,487,19.8,909,37.0,1101,44.8,446,18.1,41.0,31.4
2016,M45To64HS,12668,11781,7708,65.4,2239,19.0,1834,15.6,6532,55.4,3515,29.8,1734,14.7,60.8,51.6
2016,M45To64SC,10356,10011,7667,76.6,928,9.3,1416,14.1,6873,68.7,1777,17.8,1360,13.6,74.0,66.4
2016,M45To64BA,8158,7731,6345,82.1,388,5.0,998,12.9,5961,77.1,732,9.5,1038,13.4,77.8,73.1
2016,M45To64AD,4924,4639,3998,86.2,154,3.3,488,10.5,3835,82.7,323,7.0,481,10.4,81.2,77.9
2016,F45To64L9,1529,762,283,37.2,332,43.5,147,19.3,224,29.4,395,51.8,143,18.8,18.5,14.6
2016,F45To64L12,2573,2116,1175,55.5,608,28.7,334,15.8,892,42.2,905,42.8,319,15.1,45.7,34.7
2016,F45To64HS,12106,11288,7677,68.0,1753,15.5,1857,16.5,6597,58.4,2904,25.7,1787,15.8,63.4,54.5
2016,F45To64SC,12685,12219,9664,79.1,973,8.0,1582,12.9,8784,71.9,1879,15.4,1556,12.7,76.2,69.2
