StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGradPct,AverageHouseholdSize,PovertyRate
"LA",22,3,788118,47741.0,36.1,0.15220019085993003,2.67,0.1768675084442345
"LA",22,4,753143,37102.0,37.1,0.12339103506572069,2.54,0.2321396508454737
"LA",22,5,740217,37415.0,37.5,0.12455029250183773,2.59,0.2509538466876689
"LA",22,6,796589,62374.0,35.6,0.18802670796844023,2.67,0.12253830715810264
"ME",23,1,683279,64599.0,44.0,0.23579510207675466,2.39,8.701043231589016e-2
"ME",23,2,652628,48603.0,45.1,0.16107012868153334,2.42,0.1355601103665747
"MD",24,1,734002,73206.0,42.6,0.18940162271805275,2.65,8.64078630653634e-2
"MD",24,2,765155,68204.0,36.3,0.19327063008677842,2.61,0.10484345479082322
"MD",24,3,763763,87732.0,37.3,0.24778144075626865,2.57,7.839084539460955e-2
"MD",24,4,761353,81151.0,38.1,0.18785662791054392,2.82,7.98657629272684e-2
"MD",24,5,768507,96325.0,38.2,0.20444142911264196,2.86,7.066864927733306e-2
"MD",24,6,779616,79247.0,38.9,0.2176307457391148,2.7199999999999998,9.889520102119399e-2
"MD",24,7,718158,60929.0,38.9,0.20059909150529284,2.55,0.16568769339333167
"MD",24,8,761623,100953.0,40.4,0.2626979751356213,2.67,6.304189428058019e-2
"MA",25,1,736460,55465.0,40.8,0.17379218672114002,2.46,0.14199041070851084
"MA",25,2,744124,67531.0,39.6,0.2326269471476393,2.52,0.10936128509949294
"MA",25,3,769115,75654.0,39.1,0.2112990114990448,2.73,0.11102675497819788
"MA",25,4,752077,100742.0,41.1,0.26401004928012367,2.59,6.957173666319652e-2
"MA",25,5,766210,98775.0,38.1,0.26957365741075184,2.55,7.74754806443232e-2
"MA",25,6,774450,85951.0,42.9,0.27616954839319435,2.57,7.644566725592215e-2
"MA",25,7,806820,64310.0,31.7,0.23236590139556582,2.48,0.1870702566771183
"MA",25,8,762640,90323.0,39.8,0.27784914363985225,2.5,7.845980366322317e-2
"MA",25,9,747923,71685.0,46.1,0.2122847658395625,2.45,8.899526105185529e-2
"MI",26,1,698974,48416.0,46.6,0.16953426166312643,2.37,0.13066547639809753
"MI",26,2,737365,56103.0,37.6,0.1859056194096464,2.56,0.11753362189979431
"MI",26,3,743830,58999.0,37.1,0.2149926556247784,2.61,0.11654119782514545
"MI",26,4,702994,49448.0,41.6,0.13743479716174045,2.4699999999999998,0.14525128055939407
"MI",26,5,677788,44383.0,41.8,0.126348706297693,2.35,0.18625214174862376
"MI",26,6,718436,53414.0,38.7,0.17403469385200238,2.45,0.1338039291573527
"MI",26,7,701645,58899.0,42.3,0.1471469943564685,2.4699999999999998,0.10802761828535246
"MI",26,8,736333,71702.0,38.4,0.24119287591433605,2.55,0.11063659378080473
"MI",26,9,720890,58742.0,40.3,0.18709293496426618,2.34,0.12449339133016461
"MI",26,10,717703,63156.0,43.0,0.1461906853870385,2.52,9.634456470641542e-2
"MI",26,11,727901,82545.0,42.0,0.28558471045363043,2.5,5.96640682176044e-2
"MI",26,12,708060,57034.0,35.9,0.17560713969025007,2.48,0.16415949463811272
"MI",26,13,674157,35365.0,36.4,0.10148155104486689,2.5,0.2959686635390352
"MI",26,14,696235,46500.0,37.4,0.1604065080414844,2.51,0.20871313476919479
"MN",27,1,675755,61310.0,38.3,0.18697821217674607,2.46,0.11304808960465568
"MN",27,2,705074,81885.0,37.5,0.26675966681317376,2.65,5.319291510490297e-2
"MN",27,3,714299,89442.0,40.4,0.3128120430176079,2.55,4.994372657036717e-2
"MN",27,4,714075,68684.0,36.0,0.26081281184276756,2.56,0.11666236411094857
"MN",27,5,721389,63202.0,33.8,0.2964750926807528,2.34,0.14678380556196202
"MN",27,6,716009,79826.0,37.0,0.2194876059050479,2.73,5.732266228880224e-2
"MN",27,7,662695,55745.0,40.8,0.1609008188252025,2.45,0.11009151539503344
"MN",27,8,667310,56055.0,42.8,0.16322068956656915,2.42,0.11670804373249456
"MS",28,1,764896,47681.0,38.1,0.12993150943358758,2.73,0.1592302571178533
"MS",28,2,701238,35842.0,36.7,0.1145053238686779,2.63,0.26154512390397217
"MS",28,3,749247,45475.0,37.5,0.15569781606107191,2.61,0.196284389848827
"MS",28,4,768719,45442.0,37.4,0.13942091794213102,2.63,0.17992176792217895
"MO",29,1,729026,45789.0,36.0,0.17876079076500023,2.3,0.1782728075695536
"MO",29,2,764043,79497.0,42.8,0.2852319610714136,2.44,5.779183553488273e-2
"MO",29,3,792954,64529.0,38.9,0.17724294134396884,2.67,9.804471340506482e-2
"MO",29,4,769533,50963.0,36.9,0.15944255152767692,2.55,0.13987693743069035
"MO",29,5,770628,50663.0,36.9,0.17698495578419568,2.39,0.14681580500246202
"MO",29,6,773740,58778.0,38.6,0.1739241092086997,2.56,0.10775091807919114
"MO",29,7,777380,47225.0,37.9,0.16719877093588434,2.49,0.15095261358085002
"MO",29,8,736228,40542.0,40.9,0.10695084939497852,2.55,0.20112998812468796
"MT",30,0,1050493,53386.0,40.0,0.21740139788244853,2.41,0.12471974489342741
"NE",31,1,648060,60341.0,35.6,0.21083227132233018,2.4699999999999998,0.10606376793124597
"NE",31,2,668800,66390.0,34.9,0.2579864183888229,2.55,0.10158370625779473
"NE",31,3,603216,52434.0,39.9,0.15512165948090975,2.4,0.11640208917590758
"NV",32,1,720730,41281.0,36.5,0.10411537963202902,2.74,0.1883062697338746
"NV",32,2,720704,61225.0,39.7,0.17768457810576638,2.51,0.10203560726247135
"NV",32,3,803545,70804.0,39.3,0.2181244875637089,2.69,9.689677248333226e-2
"NV",32,4,753060,59714.0,36.7,0.15115483250198275,2.9,0.13679843905832606
"NH",33,1,673194,73488.0,42.0,0.23304433530453375,2.43,8.40408341438385e-2
"NH",33,2,669601,73249.0,44.3,0.21946154215429056,2.49,6.98081927143881e-2
"NJ",34,1,729675,69804.0,39.4,0.20536104511176625,2.63,0.10073263129787553
"NJ",34,2,713380,65467.0,42.2,0.17594813730899322,2.62,0.13562892550161895
"NJ",34,3,746035,82301.0,43.5,0.2208505910067702,2.61,6.589205684794162e-2
"NJ",34,4,756825,86365.0,40.7,0.26490330363049147,2.74,9.245121398761758e-2
"NJ",34,5,746385,100607.0,42.6,0.2947712683446052,2.8,5.364324418712518e-2
"NJ",34,6,742483,82451.0,37.7,0.2452549664684297,2.8,0.10665906713402859
"NJ",34,7,754222,113993.0,43.1,0.28840819268012285,2.8,5.286776745166884e-2
"NJ",34,8,777484,59257.0,35.0,0.2211975961830837,2.77,0.15468543328438789
"NJ",34,9,769504,67624.0,37.8,0.22171550534813206,2.85,0.14482777541171646
"NJ",34,10,781893,54440.0,35.9,0.20181876501158924,2.79,0.16756439712533805
"NJ",34,11,729569,112348.0,43.3,0.31077996036225886,2.68,3.5854329993431994e-2
"NJ",34,12,758189,85595.0,39.5,0.24826837251959952,2.79,8.276918990991772e-2
"NM",35,1,696688,50159.0,38.6,0.18281286793715582,2.52,0.1561108362196932
"NM",35,2,694692,42507.0,35.6,0.12121026742523626,2.74,0.21636087333800694
"NM",35,3,696690,47325.0,38.4,0.1502038626609442,2.75,0.2176351599852887
"NY",36,1,718652,92284.0,42.7,0.20302516004168528,2.88,6.318518518518519e-2
"NY",36,2,721373,97387.0,39.2,0.18530860210713276,3.27,7.336107493586268e-2
"NY",36,3,725627,107412.0,45.4,0.27874797379408145,2.84,5.9446906910364215e-2
"NY",36,4,728807,102205.0,40.6,0.23223615048899365,3.05,6.789630898418733e-2
"NY",36,5,798555,70481.0,37.5,0.1791105484273457,3.45,0.11072117625690484
"NY",36,6,761797,62278.0,40.9,0.20532819162900262,2.79,0.12131634487610413
"NY",36,7,755717,56197.0,33.5,0.20875223246609065,2.94,0.22958205046062782
"NY",36,8,793532,52956.0,36.1,0.1983789781831853,2.64,0.21111886935736238
"NY",36,9,750170,57453.0,36.8,0.2176103619453373,2.59,0.15542041048969474
"NY",36,10,733275,93629.0,37.0,0.29810828440965426,2.34,0.15951296315734229
"NY",36,11,755204,72633.0,40.0,0.208027184495558,2.85,0.13290784562071764
"NY",36,12,714279,107010.0,35.7,0.39881717162562486,1.9100000000000001,0.1019106993681981
"NY",36,13,802800,43880.0,34.9,0.1820169537136706,2.61,0.25422268205131443
